X,Y,OBJECTID,PARK_NAME,DPP_ASSET_ID,PROGRAM_TYPE,SITE_CLASS,BUILDING,GYM,LABEL_NUMBER,COMMENTS,DATA_SOURCE
-75.1636341891681,40.053862669122,1,Awbury Park and Recreation Center,604,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.0075107483677,40.1228431723608,2,Daniel Boyle Memorial Recreation Center,1843,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1698319055514,40.0646864811466,3,Charles M Finley Playground,1989,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.1747635378688,40.0022212258066,4,James Allen Shuler Playground,1878,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1715193626166,39.9421185311373,5,Marian Anderson Recreation Center,1901,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.238566006575,39.9566925841714,6,Howard Sayre Morris Recreation Center,1949,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1484956728207,39.9306960191885,7,Nelson M Herron Playground and Recreation Center,2898,PPR_REC,C,Y,N,, ,Programs 11/2022
-75.1574451414145,39.9229885760379,8,James Otis Ford Playground,958,NON_PPR_REC,S,Y,Y,,PAL Programs and Staffs,Programs 11/2022
-75.1012962526123,39.9864660108406,9,Frank Glavin Playground,1860,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1850912533597,39.9690547668111,10,Lloyd Hall Recreation Center,997,PPR_REC,B,Y,Y,,Located in East Fairmount Park,Programs 11/2022
-75.2332425072213,39.9952182485132,11,John C Anderson Cultural Center,3479,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.2486170014688,39.9081610266846,12,William A Cibotti Recreation Center,498,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.2317431949117,39.9152726003797,13,J Francis Finnegan Playground,95,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1787581327052,39.9159380001331,14,Commodore John Barry Playground,262,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1540698311632,39.9156417382743,15,Lawrence E Murphy Recreation Center,1919,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.1730496072024,39.922873707902,16,Thomas I Guerin Recreation Center,1865,PPR_REC,B,Y,Y,, ,Programs 11/2022
-75.2401917418978,39.9261376815886,17,John J McCreesh Sr Playground,508,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1699623851432,39.9291400454535,18,A Giuseppe DiSilvestro Playground,228,PPR_REC,B,Y,N,,Mixed use building with CHOP/Free Library/Public Health/PPR,Programs 11/2022
-75.1888629475385,39.9313798785127,19,George A Vare Recreation Center,1966,PPR_REC,A,Y,Y,,Renovations Started in 2022.,Programs 11/2022
-75.1643497944257,39.9332542226274,20,Columbus Square,966,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1512140702178,39.9337904557686,21,Solomon Sacks Playground,1947,PPR_REC,C,Y,N,, ,Programs 11/2022
-75.1594820310657,39.9340058665181,22,Dr Nicola Capitolo Playground,501,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1929330875736,39.9377462186599,23,Donald P Finnegan Recreation Center,452,PPR_REC,C,Y,N,, ,Programs 11/2022
-75.1741810028866,39.9381682503192,24,Charles H Chew Jr Playground,268,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1508425914491,39.9378443627182,25,Weccacoe Square,1969,PPR_REC,C,Y,N,, ,Programs 11/2022
-75.2098082917841,39.941956477993,26,48th and Woodland Playground,1804,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1584878528585,39.9413619390034,27,Walter Palumbo Recreation Center,1927,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.2170125411486,39.9428484580162,28,Kingsessing Recreation Center,1886,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.2344129706505,39.9488950145935,29,Albert W Christy Sr Recreation Center,1829,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.1434601913825,39.9627506892972,30,Northern Liberties Recreation Center,1921,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.2158173668384,39.9659803740685,31,Mill Creek Playground and Recreation Center,1911,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1679388200898,39.9657190564368,32,Roberto Clemente Playground,1831,PPR_REC,C,Y,N,, ,Programs 11/2022
-75.1956217828492,39.9674789707912,33,Miles Mack Playground,1910,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.2503959725216,39.9693586480479,34,William T Granahan Playground,1864,PPR_REC,B,Y,N,,Located within Cobbs Creek Park,Programs 11/2022
-75.1671292948194,39.9684953776873,35,Francisville Recreation Center,1859,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.2601531851071,39.9731281209534,36,Samuel Rose Recreation Center,1944,PPR_REC,C,Y,N,,Located with Cobbs Creek Park,Programs 11/2022
-75.2563004471617,39.9744581296902,37,Charles A Papa Playground,1929,PPR_REC,B,Y,N,,Located in Morris Park.,Programs 11/2022
-75.127804193671,39.9718519362137,38,Fishtown Recreation Center,1856,PPR_REC,A,Y,N,, ,Programs 11/2022
-75.1453480195181,39.9732354816872,39,Narcissa S Cruz Recreation Center,908,PPR_REC,B,Y,N,,Two Programmable Buildings on site.,Programs 11/2022
-75.2281120320227,39.9755166699724,40,Conestoga Community Playground,1982,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1323369643043,39.9775636116895,41,Dan Shissler Recreation Center,1844,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.240708907701,39.9818673517985,42,Ernest L Tustin Recreation Center,1965,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1699513144595,39.9808165317371,43,Dr Martin Luther King Jr Recreation Center,1985,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.2265855331485,39.983261667864,44,Parkside Evans Recreation Center,1930,PPR_REC,B,Y,N,,Located within West Fairmount Park.,Programs 11/2022
-75.1602995904469,39.9817165943757,45,Fletcher B Amos Playground,1809,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1184312957035,39.9810103730566,46,Frederick Cione Playground,1830,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1070909161356,39.9821330722872,47,Thomas P Stokley Recreation Center,1959,PPR_REC,C,N,N,,Only PPR building is staff/storage building.,Programs 11/2022
-75.1474504480631,39.9832371708012,48,8th and Diamond Playground,1805,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1002275513721,39.9829802670479,49,Reverend M Monkiewicz Recreation Center,1913,PPR_REC,C,Y,N,,Site is split by I-95 ,Programs 11/2022
-75.1125569610739,39.984128616754,50,Cohocksink Recreation Center,1838,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.1748485295623,39.9875900341127,51,Eric W (Hank) Gathers Jr Recreation Center,1852,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.0970003048815,39.9906862441445,52,Bernard Samuel Playground,1948,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.149786675173,39.9968166414797,53,12th and Cambria Playground,1800,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.0986566623997,39.9977050554547,54,Robert T Heitzman Recreation Center,1870,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.1376201731773,40.0004475329908,55,Ramonita Negron Rivera Recreation and Community Center,1941,PPR_REC,A,Y,Y,,Closed for Rebuild,Programs 11/2022
-75.1215486118575,40.0001694622982,56,Sergeant John J McVeigh Recreation Center,1908,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.068187407772,39.9995234587587,57,Bridesburg Recreation Center,1822,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.165782408638,40.0021418284916,58,Vincent G Panati Playground,1928,PPR_REC,C,Y,N,, ,Programs 11/2022
-75.1292342030226,40.0018467010585,59,John (Steve) Schmidt Playground,1978,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1083604597225,40.001457656865,60,Joseph A Scanlon Playground,1950,PPR_REC,A,Y,N,, ,Programs 11/2022
-75.1614002292124,40.0062418013054,61,Jerome Brown Playground,1880,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.2035887533525,40.0133560286932,62,Gustine Recreation Center,1984,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.073111976031,40.011121183859,63,Carmella A DiTizio Playground,1823,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.0968726683943,40.0127977615652,64,Boniface Piccoli Playground,1935,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1436530575787,40.0176621429403,65,Hunting Park,845,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.0542795535038,40.0184247973453,66,American Legion Playground,1808,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1209321778085,40.0216195676288,67,Feltonville Recreation Center,1853,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.0931246242488,40.0215285575926,68,Private Alfred J Simpson Memorial Recreation Center,1954,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.0485750641273,40.0213138473351,69,Frank JG Dorsey Memorial Playground,1848,PPR_REC,C,Y,N,, ,Programs 11/2022
-75.1523154575345,40.0244983549957,70,Stenton Park,1958,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.0801319174736,40.0242359823519,71,Joseph C McIlvain Playground,1907,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.2113531416835,40.0288283448115,72,W Freeland Kendrick Recreation Center,1885,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.0542344025922,40.0258209715733,73,Franklin Delano Roosevelt Playground,1943,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.0491653946293,40.0281249182475,74,Joseph F Vogt Playground,1968,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.0440477882234,40.0283824621769,75,Disston Recreation Center,1847,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.0612638144159,40.0293893569868,76,Lower Mayfair Playground,1898,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.0936757572503,40.029704740207,77,Edward Houseman Playground,1875,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.1356743408414,40.0312773735014,78,John L Barrett Playground,1814,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1602661213413,40.0323774299799,79,Wister Playground,1974,PPR_REC,C,Y,N,, ,Programs 11/2022
-75.2290871792701,40.0339511549428,80,Hillside Recreation Center,1872,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.0334248563923,40.0300665929162,81,Charles A Russo Playground,1946,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1180811424138,40.0341101846754,82,Charles J Ziehler Playground,1976,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.0421223359794,40.0322313937794,83,Senator William Vincent Mullin Playground,1918,PPR_REC,C,Y,N,, ,Programs 11/2022
-75.1368012078409,40.0383050918713,84,A Albert Cherashore Playground,1828,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.0271404240536,40.0361012531626,85,Holmesburg Recreation Center,1873,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.0703881281193,40.0387411456503,86,Max Myers Playground,1904,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1563033060327,40.042173802102,87,Belfield Recreation Center,1815,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.0821816247581,40.0407222152991,88,Seymour Tarken Recreation Center,1962,PPR_REC,A,Y,N,,Tarkan Ice Rink is a separate buliding on the same site.,Programs 11/2022
-75.0530833732461,40.039881677746,89,Mayfair Recreation Center,1905,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.1168703655276,40.0425385493987,90,Olney Recreation Center,1924,PPR_REC,A,Y,Y,,Closed for Rebuild ,Programs 11/2022
-75.1686864651181,40.0454221987442,91,Waterview Recreation Center,1980,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.1013201919856,40.0461563346073,92,Lawncrest Recreation Center,1891,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.179686086872,40.0477327845817,93,Daniel E Rumph II Recreation Center,1945,PPR_REC,B,Y,Y,, ,Programs 11/2022
-75.1238139337803,40.0491070360007,94,Helen G Sturgis Playground,1960,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1463628902191,40.0505422829906,95,Morris Estate Cultural Center,1914,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.024569362954,40.0478974189828,96,James J Ramp Playground,1938,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.0019604520396,40.0514017039177,97,George Jacobs Playground,1877,PPR_REC,B,Y,N,,"Gym on site is Non-PPR, it is an athletic association.",Programs 11/2022
-75.1880202851918,40.0577357433783,98,Mount Airy Playground,1917,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1823975309598,40.0570920898348,99,Pleasant Playground,1936,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.0764217660777,40.0562338257843,100,Thomas E Jardel Memorial Field,1879,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.0115666327085,40.0561317870481,101,Thomas Holme School Playground,2939,PPR_REC,C,Y,N,,"School District Property, PPR Programs",Programs 11/2022
-75.157485351183,40.0615700593025,102,William B Simons Recreation Center,1953,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.0507793611057,40.0617409521313,103,George C Pelbano Playground,1987,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.2313986078196,40.0691076149093,104,Samuel F Houston Playground,1876,PPR_REC,B,Y,N,,Located within Wissahickon Valley Park,Programs 11/2022
-74.991948309211,40.0682396059283,105,Thomas Mitchell Playground,1912,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.2004979060113,40.0753790322471,106,Water Tower Recreation Center,1979,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.0816788055791,40.074194827245,107,Fox Chase Recreation Center,1857,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.1756625163787,40.0814506443061,108,Dorothy Emanuel Recreation Center,1849,PPR_REC,A,Y,Y,, ,Programs 11/2022
-74.9740189609193,40.0801120742335,109,Corporal Jimmy OConnor Memorial Playground,1826,PPR_REC,B,Y,N,,"Gym nearby is NOT PPR, it is an athletic association building. Formerly Chalfont Playground",Programs 11/2022
-74.9892685788723,40.0804425169714,110,Elizabeth M Picariello Playground,1934,PPR_REC,B,Y,Y,, ,Programs 11/2022
-75.0207819877208,40.0911774385542,111,Officer Robert Hayes Memorial Playground,1923,PPR_REC,B,Y,Y,,Gym extension constructred in 2019.,Programs 11/2022
-74.9890643671929,40.0957823715823,112,Michael Palmer Playground,1926,PPR_REC,B,Y,N,,"Northern property building is for the Far NE Athletic Association, it is NOT PPR Programmed.",Programs 11/2022
-74.9721947886782,40.0963211868699,113,Eileen Fitzpatrick Playground,1983,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.0332014142048,40.1002679485814,114,William A Lackman Memorial Playground,1888,PPR_REC,B,Y,N,, ,Programs 11/2022
