X,Y,OBJECTID,PARK_NAME,DPP_ASSET_ID,PROGRAM_TYPE,SITE_CLASS,BUILDING,GYM,LABEL_NUMBER,COMMENTS,DATA_SOURCE
-74.9694396340955,40.10340605686,115,Jim Junod Recreation Center,1883,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.0247246778045,40.1149096606904,116,Tomlinson and Gifford Playground,1863,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1595639501363,40.0499992211517,117,Lonnie Young Recreation Center of East Germantown,1897,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.0758752402906,40.0142254181864,118,William (Billy) Gambrel Playground,1862,PPR_REC,B,Y,Y,, ,Programs 11/2022
-75.151719668541,39.9860748866311,119,Penrose Memorial Playground,1977,PPR_REC,B,Y,N,,Located in PPR District 6 but managed by District 10. ,Programs 11/2022
-75.2284890473926,39.9346256570176,120,Francis J Myers Recreation Center,1858,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.1507739555381,39.9760826531446,121,Marie Dendy Recreation Center,1902,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1373196528355,39.9728830105188,122,Hancock Playground,1867,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1329258295217,39.9885752636778,123,Waterloo Playground,2901,PPR_REC,C,Y,N,, ,Programs 11/2022
-75.2311865502508,39.9772308399125,124,Charles A Baker Playground,1981,PPR_REC,C,Y,N,,Staff from Conestoga ,Programs 11/2022
-75.190866619629,39.9637682976151,125,James L Wright Playground,1975,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.1675526605303,39.9936603151823,126,Cecil B Moore Recreation Center,1825,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.1832459353673,39.9354994414515,127,Wharton Square,305,PPR_REC,C,Y,N,, ,Programs 11/2022
-75.1459369642862,39.9347986270401,128,Shot Tower Recreation Center,969,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.163493956522,39.9384795841164,129,Hawthorne Cultural Center,1869,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1528358316479,39.9427206691233,130,Starr Garden Playground,1957,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1593083295971,39.9436183355252,131,Charles T Mitchell Jr (Seger) Park,1951,PPR_REC,B,Y,N,,"Building is named for Charles Seger (1977); Site is named for Charles T Mitchell Jr (1976).",Programs 11/2022
-75.1832725224868,39.9479946091986,132,William H (Billy) Markward Memorial Playground,1903,PPR_REC,B,Y,N,,Located within Schuylkill River Park,Programs 11/2022
-75.2491030278968,39.9581963178396,133,Johnny Sample Recreation Center,1836,PPR_REC,A,Y,Y,,Located in Cobbs Creek Park,Programs 11/2022
-75.2107278963019,39.9616640045616,134,John A Lee Cultural Center,1892,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.2230245249974,39.967466784783,135,West Mill Creek,1970,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.2341796542888,39.9672698620018,136,Haddington-Marshall L Shepard Sr Recreation Center,1952,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.1511521250283,39.9667964598499,137,East Poplar Playground,1851,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.2127062711248,39.9792515301356,138,Carousel House Recreation Center,1824,PPR_REC,A,Y,Y,,Located in West Fairmount Park. Currently closed for Rebuild.,Programs 11/2022
-75.1351096773182,39.9783989447246,139,Michael J Towey Playground,1964,PPR_REC,B,Y,Y,, ,Programs 11/2022
-75.1953615128693,39.9816113670216,140,Smith Memorial Playground and Playhouse,1955,NON_PPR_REC,D,Y,N,,"Located in East Fairmount Park. Programmed by Smith Memorial Trust, Wells Fargo Trustee.",Programs 11/2022
-75.1878030267541,39.9897819107031,141,Joseph E Mander Playground,1900,PPR_REC,B,Y,N,,Located in East Fairmount Park,Programs 11/2022
-75.1867696891675,40.008796341514,142,Harry S McDevitt Playground,1906,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.166272168354,40.0236931950372,143,Happy Hollow Recreation Center,1868,PPR_REC,B,Y,Y,, ,Programs 11/2022
-75.0696199632461,40.0240137245522,144,Wissinoming Park,1973,PPR_REC,C,Y,N,, ,Programs 11/2022
-74.9982050727317,40.058979690821,145,Torresdale Recreation Center,68,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1786676990227,39.9779513582244,146,Athletic Recreation Center,1811,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.2511010108308,39.9044377394714,147,Eastwick Regional Playground,499,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1381864234813,39.9890713969406,148,Frank S Nelson Jr Memorial Recreation Center,1988,PPR_REC,B,Y,N,,2019-2020 Renovations,Programs 11/2022
-75.1049981121629,40.0147765429938,149,Joseph A Ferko Playground,1854,PPR_REC,C,Y,N,,,Programs 11/2022
-75.0628308675822,40.0162791139749,150,Victor J Moss Memorial Field,1916,PPR_REC,C,Y,N,, ,Programs 11/2022
-75.1234545135445,39.983808288896,151,Black Coyle and McBride Playground,1820,PPR_REC,C,Y,N,, ,Programs 11/2022
-75.1123490246688,40.0016012382164,152,Ramblers Recreation Center,1937,NON_PPR_REC,S,Y,Y,,Kensington Ramblers PAL Center (aka Harrowgate),Programs 11/2022
-75.1310661126353,40.0435476547499,153,Fisher Park,679,PPR_REC,B,Y,N,,Staff deployed from Olney (Closed),Programs 11/2022
-75.1555713563892,40.0006426982482,154,Heritage Park Playground,1871,PPR_REC,C,Y,N,, ,Programs 11/2022
-75.1742655471797,40.0397045912926,155,Morton Playground,1915,PPR_REC,C,N,N,,"Building on site is an L&I Office building, it is NOT a PPR Building.",Programs 11/2022
-75.1577706103316,39.9888097249935,156,Marie Winchester Playground,2900,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1977434058896,39.936217292943,157,Jacob Stinger Park,443,PPR_REC,C,N,N,,Only PPR building is staff/restroom building.,Programs 11/2022
-75.1504413896421,39.9212596800912,158,Reverend Edward P Burke Playground,202,PPR_REC,C,N,N,,Only PPR building is storage shed.,Programs 11/2022
-75.2008833209535,39.9659319624065,159,Norman (Butch) Ellis Playground,1803,PPR_REC,C,Y,N,, ,Programs 11/2022
-75.2084480777119,40.0020767100266,160,Woodside Park,1840,PPR_REC,C,Y,N,, ,Programs 11/2022
-75.1989628527511,39.9734814569797,161,Clayborne and Lewis Playground,2896,PPR_REC,C,Y,N,, ,Programs 11/2022
-75.021895880775,40.0572949058898,162,Holme Crispin Park,1633,PPR_REC,D,Y,N,, ,Programs 11/2022
-75.0399228856989,40.0426711972682,163,Lincoln Indoor Pool,3471,POOL,S,Y,N,,"School District Property/Facility;PPR Programs (Ramp)",Programs 11/2022
-75.1129860123014,40.0221056558581,164,Lauretha Vaird Fields,1890,NON_PPR_REC,D,Y,Y,,"Located in Tacony Creek Park, Boys and Girls Club Programs",Programs 11/2022
-75.1156843799588,40.0398789622238,165,Hammond and Nedro Fields,1866,PPR_REC,D,Y,N,,Located in Tacony Creek Park,Programs 11/2022
-75.2028727259622,40.0520049909539,166,Allens Lane Art Center,1807,NON_PPR_REC,S,Y,N,, ,Programs 11/2022
-75.1680586816049,40.0192030895927,167,Fernhill Park,833,PPR_REC,D,Y,N,, ,Programs 11/2022
-75.2218401893562,40.0233091367907,168,Venice Island Performing Arts and Recreation Center,3448,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.2032088545347,40.0219670676277,169,David P Montgomery Field,3065,PPR_REC,D,Y,N,,Located in Wissahickon Valley Park.,Programs 11/2022
-75.1796768645514,39.9990184872119,170,29th and Chalmers Playground,1990,PPR_REC,C,Y,N,,Non-PPR Building on site. No other buildings available.,Programs 11/2022
-75.1873646768137,39.9254269713752,171,Thomas B Smith Recreation Center,502,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1634347966534,39.9262748910949,172,East Passyunk Community Recreation Center,1963,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.0209580341208,40.0440617322604,173,Frankford and Solly Playground,2934,PPR_REC,D,Y,N,,Pavilion building on site. Located in Pennypack Park.,Programs 11/2022
-75.0272062574469,40.0605378615642,174,Frank McArdle Memorial Recreation Center,1991,PPR_REC,C,N,N,,,Programs 11/2022
-75.1516726969828,39.9275856732321,175,John Dickinson Square,960,PPR_REC,C,Y,N,, ,Programs 11/2022
-75.19323367227,39.9334056733113,176,William Lanier Park,407,PPR_REC,C,N,N,, ,Programs 11/2022
-75.1454267785917,39.9327488226926,177,Ralph R Rizzo Sr Ice Rink,1407,PPR_REC,A,Y,N,, ,Programs 11/2022
-75.2481075445779,39.9593011202806,178,Laura Sims Skating Rink,984,PPR_REC,B,Y,N,,Building located within Johnny Sample Recreation Center (Cobbs Creek Park),Programs 11/2022
-75.1372200236506,39.9667569455301,179,Tip Top Playground,279,PPR_REC,C,N,N,, ,Programs 11/2022
-75.1232484798625,39.9943496690804,180,Marian Winfield Hissey Recreation Center,569,PPR_REC,C,N,N,, ,Programs 11/2022
-75.0917702209431,40.0120003989574,181,Joseph Deni Recreation Center,1846,PPR_REC,C,N,N,,Building on site is for storage.,Programs 11/2022
-75.1045518210495,40.0038492245102,182,Juniata Park Older Adult Center,3466,OLDER_ADULT_CENTER,S,Y,N,, ,Programs 11/2022
-75.0591583052743,40.0875080210886,183,Pennypack Environmental Center,3462,ENVIRONMENTAL_EDUCATION_CENTER,S,Y,N,,Located within Pennypack Park,Programs 11/2022
-75.2338714458867,40.0813052932031,184,Wissahickon Environmental Center,3456,ENVIRONMENTAL_EDUCATION_CENTER,S,Y,N,,Located within the Andorra Natural Area which is within Wissahickon Valley Park,Programs 11/2022
-75.2504145830366,39.9519869166729,185,Cobbs Creek Community Environmental Center,1835,ENVIRONMENTAL_EDUCATION_CENTER,S,Y,N,,Located in Cobbs Creek Park.,Programs 11/2022
-75.1695849764445,39.9799294723171,186,Dr Martin Luther King Jr Older Adult Center,3078,OLDER_ADULT_CENTER,S,Y,N,, ,Programs 11/2022
-75.1310089394724,39.9723506159493,187,Dave Dougherty (Hetzell) Field,629,PPR_REC,C,N,N,,,Programs 11/2022
-75.0804822091867,40.0139483413442,188,Wilmot Park,99,PPR_REC,C,N,N,,,Programs 11/2022
-75.1165799373596,39.9861978768278,189,Trenton and Auburn Playground,583,PPR_REC,C,N,N,,,Programs 11/2022
-75.1282667764739,39.9834774684766,190,Hagert Street Playground,847,PPR_REC,C,N,N,,,Programs 11/2022
-75.213103117174,40.0216320212779,191,Wissahickon Neighbors Playground,2902,PPR_REC,C,N,N,,,Programs 11/2022
-75.1542100132773,40.0643777350731,192,West Oak Lane Senior Center,3477,OLDER_ADULT_CENTER,S,Y,N,,Not City-Owned Property,Programs 11/2022
-75.1381381038285,40.000724252342,193,Mann Older Adult Center,1040,OLDER_ADULT_CENTER,S,Y,Y,,Located in same building as Rivera.,Programs 11/2022
-75.1305073631757,39.9996732160629,194,Jose Manuel Collazo Park,636,PPR_REC,D,N,N,,,Programs 11/2022
-75.1330579520021,39.9916006331264,195,Gerald J Maguire Playground,780,PPR_REC,C,N,N,,,Programs 11/2022
-75.1332980427787,40.002537871762,196,Corporal George J Reed Jr Memorial Playground,1173,PPR_REC,C,N,N,,,Programs 11/2022
-75.1515866134839,39.9787818768663,197,11th and Cecil B Moore Playground,1135,PPR_REC,D,N,N,,Located in PPR District 10 but managed by PPR District 6,Programs 11/2022
-75.1654563792603,40.0065147792405,198,22nd and Ontario Park,1185,PPR_REC,D,N,N,,,Programs 11/2022
-75.1716092378389,39.9822067739924,199,Montgomery and Croskey Play Lot,614,NON_PPR_REC,D,N,N,,,Programs 11/2022
-75.1393639085325,39.9811024099671,200,3rd and Norris Playground,2903,PPR_REC,C,N,N,,,Programs 11/2022
-75.0512699548471,40.0918869998319,201,CCA Baldi School Playground,2808,NON_PPR_REC,D,N,N,,,Programs 11/2022
-75.0670894099985,40.0807593361101,202,Verree and Susquehanna Playground,1371,PPR_REC,D,N,N,,Located within Pennypack Park,Programs 11/2022
-75.0513160286172,40.0625231094006,203,Northeast Older Adult Center,3087,OLDER_ADULT_CENTER,S,Y,N,,Located on same property as George C Pelbano Playground,Programs 11/2022
-75.0205439840022,40.0389821208327,204,Torresdale and Enfield Fields,1370,PPR_REC,D,N,N,,Located within Pennypack Park,Programs 11/2022
-75.162531716393,39.9313698948991,205,South Philadelphia Older Adult Center,964,OLDER_ADULT_CENTER,S,Y,N,,,Programs 11/2022
-75.194682629003,39.92149317927,206,29th and Passyunk Park,432,PPR_REC,D,N,N,,,Programs 11/2022
-75.2489663406423,39.8971753212171,207,Pepper School Playground,2799,NON_PPR_REC,C,N,N,,,Programs 11/2022
-75.2203834141427,39.9317181843654,208,Russell DeRitis Playground,198,PPR_REC,C,N,N,,,Programs 11/2022
-75.2459689361012,39.9435759538509,209,Robert Wilson III Park,3454,PPR_REC,C,N,N,,Located in Cobbs Creek Park,Programs 11/2022
-75.246822528451,39.9452372697284,210,61st and Cobbs Creek Park,3481,PPR_REC,D,N,N,,Located in Cobbs Creek Park,Programs 11/2022
-75.2381471220925,39.941000532432,211,Whitby Avenue Playground,1372,PPR_REC,D,N,N,,Located in Cobbs Creek Park,Programs 11/2022
-75.1424009797512,39.9716720312205,212,Thomas Hart Park,578,PPR_REC,D,N,N,,,Programs 11/2022
-75.1549846053374,39.9635854486283,213,10th and Lemon Playground,2914,PPR_REC,C,N,N,,,Programs 11/2022
-75.2077457650646,39.9790504662597,214,Kelly Pool,1278,POOL,S,N,N,,Located in West Fairmount Park,Programs 11/2022
-75.181887320015,39.968736832637,215,26th and Pennsylvania Playground,3458,PPR_REC,D,N,N,,Located in East Fairmount Park,Programs 11/2022
-75.2064463541929,39.9993659297673,216,Ford Road Playground,2899,PPR_REC,C,N,N,,Located in West Fairmount Park,Programs 11/2022
-75.1844942659314,39.9795991272315,217,Howard McCall Sr Playground,797,PPR_REC,C,N,N,,,Programs 11/2022
-75.181715509178,39.9488367380004,218,Schuylkill River Park,2992,PPR_REC,D,N,N,,Markward is located within this park.,Programs 11/2022
-75.1869372277938,39.9950086278213,219,Strawberry Mansion Playground,808,PPR_REC,C,N,N,,,Programs 11/2022
-75.1628625968317,39.9727326586703,220,Stiles Street Play Lot,945,NON_PPR_REC,D,N,N,,,Programs 11/2022
-75.1908126217184,39.9650367191299,221,33rd and Wallace Playground,1801,PPR_REC,C,Y,N,,,Programs 11/2022
-75.1191358485831,39.9950303399113,222,McPherson Square,576,PPR_REC,C,N,N,,,Programs 11/2022
